,Name,Location,Notes,url,isVoid
0,Akuna Capital,Chicago,Various Junior Developer Positions,https://akunacapital.com/careers?experience=junior&department=development#careers,True
1,Disney,"Burbank, CA",SWE 1; Requires 0 Experience,https://jobs.disneycareers.com/job/-/-/391/33379644048,True
2,VMware,"Palo Alto, California; Atlanta, Georgia",Launch New Grad SWE,https://careers.vmware.com/main/jobs/R2212905?lang=en-us,True
3,IMC,Chicago,Graduate Software Engineer,https://imc.wd5.myworkdayjobs.com/invitation/job/Chicago/Graduate-Software-Engineer_REQ-01946#utm_source=peoplepath,True
4,Palantir,"Denver, CO","Software Engineer, New Grad",https://jobs.lever.co/palantir/c34b424e-caf2-455a-b104-ae1096ccca29,False
5,Sofi,"Murrah, UT","New Grad, Platform Infrastructure Engineer",https://www.sofi.com/careers/intern/?gh_jid=5255634003,False
6,Egen Solutions,"Naperville, IL","Software Engineer, University Graduates, 2023",https://jobs.lever.co/egensolutions/b8241d47-ab6c-456c-823d-1a6bd59e402f,False
7,Amazon,US,"New Grad SDE, New Grad Frontend",https://www.amazon.jobs/en/jobs/2080728/software-development-engineer-2023-us,False
8,Sunshine,"Palo Alto, CA",SWE New Grad 2023,https://jobs.lever.co/sunshine/a576f278-9748-49ab-b0b5-1104ef8880c4/apply,True
9,Jane Street,NYC,"Software Engineer, New Grad",https://www.janestreet.com/join-jane-street/position/6214578002/,False
10,Raytheon Technologies,"Sterling, VA","Software Engineer I, New Grad",https://careers.rtx.com/global/en/job/01544342,True
11,Cruise,"San Francisco, CA","New Grad, Software Engineer, Developer Platform",https://www.getcruise.com/careers/jobs/3851967/?department=University%20Opportunities%20%26%20Internships&search=software%20engineer,False
12,Goldman Sachs,US,2023 New Analyst Program,https://www.goldmansachs.com/careers/students/programs/americas/new-analyst-program.html,False
13,Applied Intuition,"Mountain View, CA","New Grad, Software Engineer",https://jobs.lever.co/applied/?team=New%20Grad,True
14,D. E. Shaw,"NYC, London",Various tech roles,https://www.deshaw.com/careers/choose-your-path,False
15,Indeed,Remote,Associate Research Engineer,https://university.indeed.jobs/university/jobs/39977?lang=en-us,True
16,Capital One,US,Technology Development Program Associate,https://www.capitalonecareers.com/job/mclean/technology-development-program-associate-2023/31238/31914108720,False
17,Virtu Financial,"New York, NY",Entry-Level Software Engineer,https://www.virtu.com/careers/,False
18,Citadel,US,Software Engineer,https://www.citadel.com/careers/open-positions/positions-for-students/?keyword=Full%20Time,False
19,Philadelphia Phillies,"Philadelphia, PA",Software Engineer Associate (Spring/Summer 2023),https://boards.greenhouse.io/philadelphiaphilliesrddepartment/jobs/5203393003?gh_src=99fc01a23us,True
20,Caterpillar,"Champaign, IL",Associate Software Engineer (Cat Digital),https://careers.caterpillar.com/en/jobs/job/r0000140356-2023-associate-software-engineer-cat-digital/?source=LinkedIn,True
21,Procter & Gamble,"Cincinnati, OH",Software/Data Engineer 2023 Grads,https://www.pgcareers.com/job/cincinnati/software-data-engineer-2023-grads/936/32401863136,False
22,Optiver,"Chicago, IL",Software engineer for Chicago and Austin. Quantitative trading for Chicago and Austin. Hardware engineer for Chicago and Austin.,https://grnh.se/57f5e82c2us,False
23,Oracle,US,Software Engineer 2023 Grads,https://eeho.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/requisitions?location=United%20States&locationId=300000000149325&selectedFlexFieldsFacets=%22AttributeChar16%7CCampusSoftware%22,False
24,Cisco (Meraki),"San Francisco, CA","Full Stack Engineer, Early Career (Meraki)",https://jobs.cisco.com/jobs/ProjectDetail/Full-Stack-Engineer-Early-Career-Meraki/1372139,True
25,Stytch,"San Francisco, CA","New Grad, Software Engineer",https://jobs.ashbyhq.com/stytch/b4ee9734-3657-4393-8eca-269ae179d7eb,False
26,SIG,"Bala Cynwyd, PA",Software Developer--Campus 2023 Start,https://careers.sig.com/job/SUSQA004Y6229,False
27,Raytheon Technologies,"Cedar Rapids, IA",Software Engineer I(New Grad)(Hybrid),https://careers.rtx.com/global/en/job/01501768/Software-Engineer-I-New-Grad,False
28,Qualcomm,"San Diego, CA",Camera Software Engineer I(New Graduates),https://qualcomm.wd5.myworkdayjobs.com/en-US/External/job/Camera-Software-Engineer--New-Graduates-_3023665,True
29,Capstone,NYC,2023 Technology Graduate Rotation Program,https://www.capstoneco.com/careers/2023-technology-graduate-rotation-program-nyc/?gh_jid=6223901002,False
30,Five Rings,"New York, NY",Software Developer--Campus 2023 Start,https://fiverings.avature.net/careers,False
31,Citrix,US,Software Engineer 2023,https://citrix.wd1.myworkdayjobs.com/en-US/CitrixCareers/job/Software-Engineer--2023-_R34470,False
32,WeRide.ai,"San Jose, CA",Software Engineer (New Grad),https://jobs.lever.co/weride/97063737-808b-4078-b1d8-8ffcef30635a,False
33,Otter.ai,"Mountain View, CA","Software Engineer, Backend (New Grad)",https://otter.ai/job-detail?gh_jid=5120493003&gh_src=null,True
34,MathWorks,"Natick, MA",Multiple Openings - Engineering Development Group,https://www.mathworks.com/company/jobs/opportunities/16217-multiple-openings-engineering-development-group-u-s,False
35,Vanta,"New York, San Francisco","Software Engineer, New Grad",https://boards.greenhouse.io/vanta/jobs/5745472002,False
36,Verkada,"San Mateo, CA","Backend, Frontend",https://jobs.lever.co/verkada/b0946e83-4174-4ecb-9873-6d0030ca1023,False
37,Credit Suisse,"New York, NY; Raleigh, NC","2023 Americas Technology Full-Time Analyst. For the role in Raleigh, search for the job title on their website.",https://tas-creditsuisse.taleo.net/careersection/campus/jobdetail.ftl?job=213383&lang=en,False
38,Old Mission,Multiple locations,College Graduates - Full-Time - Junior Software Engineer,https://www.oldmissioncapital.com/careers/?gh_jid=5193176003,False
39,Abnormal Security,"San Francisco, California",New Grad SWE,https://careers.abnormalsecurity.com/open-roles?gh_jid=5131426003,False
40,Audible,"Culver City, CA",Software Development Engineer,https://www.amazon.jobs/en/jobs/1999808/software-development-engineer?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=audible&utm_medium=social_media&utm_content=job_posting&ss=paid,True
41,Argano,Remote,Junior Software Engineer,https://argano.hrmdirect.com/employment/view.php?req=2024176,False
42,Microsoft,USA,New Graduate Software Engineer,https://careers.microsoft.com/us/en/job/1388843/Software-Engineering-Full-Time-Opportunities-for-University-Graduates?jobsource=indeed&utm_source=indeed&utm_medium=indeed&utm_campaign=indeed-feed,False
43,Uber,"San Francisco, Sunnyvale, CA; Seattle, WA; Boulder, CO; New York, NY; Toronto, ON",New Grad - Software Engineer I,https://university-uber.icims.com/jobs/116884/job,False
44,Lawrence Livermore National Laboratory,"Livermore, CA or remote",Software Developer,https://www.llnl.gov/join-our-team/careers/find-your-job/all/software%20developer/3743990000246205,False
45,Hudson River Trading,Multiple,"Software Engineer & Algo Software Engineer. For the roles in other locations, search for the job title on their website.",https://www.hudsonrivertrading.com/careers/job/?_4118765=Full-Time%3A+New+Grad&_4168241=Software+Engineering%3AC%2B%2B&gh_jid=4454781&req_id=310,False
46,Roblox,"San Mateo, CA",Software Engineer - New Grad (Summer 2023),https://jobs.roblox.com/careers?gh_jid=4395968,False
47,Ceridian,Remote,Software Developer; 0 Experience Required,https://www.mydayforce.com/CandidatePortal/en-us/mydayforce/site/alljobs/Posting/View/43677,True
48,Aquatic,"Chicago, IL or Remote",Junior Developer and Quant positions,https://boards.greenhouse.io/aquaticcapitalmanagement,False
49,Neeva,"Mountain View, CA","Software Engineer, New Grad, 2023",https://jobs.lever.co/neeva/8f7622f3-174b-421b-88f2-407c89ef55fe?lever-source=LinkedInJobs,False
50,Forward,"San Francisco, CA",Software Engineer - New Grad Full Stack),https://jobs.lever.co/goforward/073d1961-b3fd-4515-a7a4-a34a2eedb74a,False
51,Cisco,"San Jose, CA",Software Engineer I (Full Time),https://jobs.cisco.com/jobs/ProjectDetail/Software-Engineer-I-Full-Time-United-States/1380884?source=coderQuad,False
52,Broadway Technology,NYC,Software Engineer (New Grad-Fall 2022/Spring 2023),https://jobs.lever.co/broadwaytechnology/d364919b-64e9-464a-b848-04bc3a4dcd15?lever-origin=applied&lever-source%5B%5D=Handshake%20Applicant,False
53,Morgan Stanley,NYC & more,"2023 Technology Full-Time Analyst Program. For the roles in other locations, look up the job title on their website.",https://morganstanley.tal.net/vx/candidate/apply/12947,False
54,Capstone Investment Advisors,"NYC, London","2023 Technology Graduate Rotation Program. For the role in London, look up the job title on their website.",https://www.capstoneco.com/careers/2023-technology-graduate-rotation-program-nyc/?gh_jid=6223901002,False
55,Seven Eight Capital,NYC,2023 Software Engineer (Campus Hire Graduating 2023),https://boards.greenhouse.io/seveneightcapital/jobs/6306094002?gh_jid=6306094002,False
56,PEAK6,NYC & more,Software Engineer - Campus Entry-Level. The same application is used for all locations.,https://careers.peak6.com/jobs/technology-management/chicago-il-new-york-ny-austin-tx/software-engineer-campus-entry-level/4449643?gh_jid=4449643#/,False
57,Bloomberg,"New York, NY",2023 Software Engineer,https://careers.bloomberg.com/job/detail/105010,False
58,Two Sigma,"NYC, Houston(TX), and London","Software Engineer, Quantitative Researcher",https://careers.twosigma.com/careers/SearchJobs/campus%20hire,False
